General.EstateTypeKey,General.ReferenceNumber,General.DistributionTypeKey,General.ConstructionYear,General.LivingSpace,Tealium.object_locationid,Tealium.object_address_is_visible,Tealium.object_zip,Tealium.object_currency,Tealium.object_features,Tealium.object_objektart_sub,Tealium.expose_type,Tealium.broker_guid,Tealium.object_count_photos,LocalRatings.scores.local_amenities,LocalRatings.scores.mobility,MetaBadges,Price.AdditionalInformation.Commission.CommissionType,EstateAddress.City,EstateAddress.ZipCode,EstateAddress.Street,Offerer.addressGuid,Offerer.globalUserId,Offerer.contactData.companyName,Project.Address.PostCode,Project.Address.Street,Project.Address.HouseNumber,Latitude,Longitude,Stadtteil,Stadt,PRICE,ROOMS,PRICE_COMMONCHARGE,EnergyType,Class,Value,CATEGORY,FLOOR,USAGE,SUITABILITY,CONDITION,HOUSECONDITION,PARKINGSLOT,ENERGY,BUILDINGTYPE,HEATING,ELEVATOR,EQUIPMENTS
WOHNUNG,001/G1/E114,ZUM_KAUF,2023.0,247.07,493480,True,90482,EUR,"['Neubau', 'WANNE', 'gaestewc', 'Bad/WC getrennt', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'Fußbodenheizung', 'PARKETT', 'FLIESEN', 'abstellraum', 'Tiefgarage', 'Loggia', 'Terrasse', 'Aluminiumfenster', 'provisionsfrei']",wohnung,project,4821481,15.0,7.7,9.5,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90482,Ostendstraße 120,69C9B07CBE7147ED868C55D3368C8261,4821481,Instone Real Estate Development GmbH Niederlassung Bayern Nord,90482,Ostendstraße,115,49.4576,11.13188,Mögeldorf,Nürnberg,2539000.0,7.0,,,,,,11. Geschoss,,,Erstbezug,Neubau,Tiefgarage,,,Fußbodenheizung,Personenaufzug,
WOHNUNG,,ZUM_KAUF,1900.0,69.0,493430,False,90461,EUR,"['Dach ausgebaut', 'WANNE', 'gaestewc', 'Bad/WC getrennt', 'Kelleranteil', 'Dachgeschoss', 'renoviert', 'GAS', 'Etagenheizung', 'DSL', 'LAMINAT', 'FLIESEN', 'vermietet', 'wg_geeignet', 'kable_sat_tv', 'Kunststofffenster']",MAISONETTE,standard,2704438,23.0,6.5,9.7,[],COMMISSION_REQUIRED,Nürnberg,90461,,96453B9B5899480AB506126D5E0E9140,2704438,Immobilien Büro Franken24 UG (haftungsbeschränkt),,,,49.42749,11.07581,Gibitzenhof,Nürnberg,225000.0,2.0,280.0,,,,Maisonette,4. Geschoss (Dachgeschoss),vermietet,WG-geeignet,renoviert / saniert,,,Gas,,Etagenheizung,,
WOHNUNG,,ZUM_KAUF,1972.0,69.46,493465,False,90473,EUR,"['WANNE', 'GEPFLEGT', 'FERN', 'LAMINAT', 'FLIESEN', 'Kapitalanlage', 'vermietet', 'abstellraum', 'Tiefgarage', 'Balkon', 'Kunststofffenster']",wohnung,standard,7111707,1.0,5.7,7.8,[],COMMISSION_DEFAULT,Nürnberg,90473,,9C587ED116BD427E9DD13790553F0A5F,7111707,W &a; F Liegenschaften GmbH,,,,49.40815,11.13376,Langwasser,Nürnberg,195000.0,3.0,283.0,,,,,8. Geschoss,vermietet,,gepflegt,,Tiefgarage,Fernwärme,,,,
WOHNUNG,X4_301,ZUM_KAUF,2023.0,82.81,493524,True,90429,EUR,"['Neubau', 'DUSCHE', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'LAMINAT', 'KUNSTSTOFF', 'FLIESEN', 'KFW55', 'abstellraum', 'offene Küche', 'Balkon', 'KAMERA', 'Aluminiumfenster', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,53124,6.0,8.2,9.6,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,Maximilianstraße 56,F2237DED191344059DB32E4F5C9709F0,53124,EcoLoft Gruppe AG ,90429,Maximilianstraße ,56,49.46008,11.04266,Seeleinsbühl,Nürnberg,483623.0,3.0,,UNDEFINED,DE_ENV2014_CLASS_A_PLUS,24.5,,3. Geschoss,,,Erstbezug,Neubau,,Blockheizkraftwerk,KfW 55,Fußbodenheizung,Personenaufzug,
WOHNUNG,X4_204,ZUM_KAUF,2023.0,75.52,493524,True,90429,EUR,"['Neubau', 'DUSCHE', 'Personenaufzug', 'Erdgeschoss', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'LAMINAT', 'KUNSTSTOFF', 'FLIESEN', 'KFW55', 'abstellraum', 'offene Küche', 'Balkon', 'KAMERA', 'Aluminiumfenster', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,53124,6.0,8.2,9.6,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,Maximilianstraße 56,F2237DED191344059DB32E4F5C9709F0,53124,EcoLoft Gruppe AG ,90429,Maximilianstraße ,56,49.46008,11.04266,Seeleinsbühl,Nürnberg,433956.0,3.0,,UNDEFINED,DE_ENV2014_CLASS_A_PLUS,24.5,,2. Geschoss (Erdgeschoss),,,Erstbezug,Neubau,,Blockheizkraftwerk,KfW 55,Fußbodenheizung,Personenaufzug,
WOHNUNG,X4_103,ZUM_KAUF,2023.0,46.77,493524,True,90429,EUR,"['Neubau', 'barriefrei', 'DUSCHE', 'Kelleranteil', 'Personenaufzug', 'Erdgeschoss', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'KFW55', 'frei', 'offene Küche', 'REINIGUNG', 'Balkon', 'KAMERA', 'Aluminiumfenster', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,53124,6.0,8.2,9.6,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,Maximilianstraße 56,F2237DED191344059DB32E4F5C9709F0,53124,EcoLoft Gruppe AG ,90429,Maximilianstraße ,56,49.46008,11.04266,Seeleinsbühl,Nürnberg,251000.0,2.0,,UNDEFINED,DE_ENV2014_CLASS_A_PLUS,24.5,,1. Geschoss (Erdgeschoss),frei,barrierefrei,Erstbezug,Neubau,,Blockheizkraftwerk,KfW 55,"Fußbodenheizung, Zentralheizung",Personenaufzug,
WOHNUNG,X4_203,ZUM_KAUF,2023.0,46.77,493524,True,90429,EUR,"['Neubau', 'DUSCHE', 'Kelleranteil', 'Personenaufzug', 'Erdgeschoss', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'KFW55', 'frei', 'offene Küche', 'REINIGUNG', 'Balkon', 'KAMERA', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,53124,6.0,8.2,9.6,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,Maximilianstraße 56,F2237DED191344059DB32E4F5C9709F0,53124,EcoLoft Gruppe AG ,90429,Maximilianstraße ,56,49.46008,11.04266,Seeleinsbühl,Nürnberg,255000.0,2.0,,UNDEFINED,DE_ENV2014_CLASS_A_PLUS,24.5,,2. Geschoss (Erdgeschoss),frei,,Erstbezug,Neubau,,Blockheizkraftwerk,KfW 55,"Fußbodenheizung, Zentralheizung",Personenaufzug,
WOHNUNG,X4_101,ZUM_KAUF,2023.0,83.76,493524,False,90429,EUR,"['Neubau', 'DUSCHE', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'KUNSTSTOFF', 'FLIESEN', 'KFW55', 'abstellraum', 'offene Küche', 'Balkon', 'KAMERA', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,53124,5.0,8.2,9.6,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,,F2237DED191344059DB32E4F5C9709F0,53124,EcoLoft Gruppe AG ,90429,Maximilianstraße ,56,49.46008,11.04266,Seeleinsbühl,Nürnberg,447710.0,3.0,,UNDEFINED,DE_ENV2014_CLASS_A_PLUS,24.5,,1. Geschoss,,,Erstbezug,Neubau,,Blockheizkraftwerk,KfW 55,Fußbodenheizung,Personenaufzug,
WOHNUNG,X4_403,ZUM_KAUF,2023.0,46.77,493524,True,90429,EUR,"['Neubau', 'barriefrei', 'DUSCHE', 'Kelleranteil', 'Personenaufzug', 'Erdgeschoss', 'FERNE', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'KFW55', 'frei', 'offene Küche', 'REINIGUNG', 'Balkon', 'KAMERA', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,53124,6.0,8.2,9.6,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,Maximilianstraße 56,F2237DED191344059DB32E4F5C9709F0,53124,EcoLoft Gruppe AG ,90429,Maximilianstraße ,56,49.46008,11.04266,Seeleinsbühl,Nürnberg,265000.0,2.0,,UNDEFINED,DE_ENV2014_CLASS_A_PLUS,24.5,,4. Geschoss (Erdgeschoss),frei,barrierefrei,Erstbezug,Neubau,,Blockheizkraftwerk,KfW 55,"Fußbodenheizung, Zentralheizung",Personenaufzug,
WOHNUNG,a087R00001FaAA1QAN,ZUM_KAUF,2025.0,69.84,493485,False,90429,EUR,"['Neubau', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'FERN', 'Fußbodenheizung', 'DSL', 'PARKETT', 'FLIESEN', 'KFW55', 'offene Küche', 'Tiefgarage', 'Haustiere erlaubt', 'Loggia', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,42969,7.0,6.5,9.0,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,,3F086D3C166F4B5CBA23A36936B29B0D,42969,BPD Immobilienentwicklung GmbH,90429,Adolf-Braun-Straße ,,49.46166,11.03136,Muggenhof,Nürnberg,410000.0,2.5,,,,,,1. Geschoss,,,Erstbezug,Neubau,Tiefgarage,Fernwärme,KfW 55,Fußbodenheizung,Personenaufzug,
