location,Northeast,Northwest,Southeast,Southwest,energyEfficiency,energyEfficiency,price,price,constructionYear,constructionYear,livingSpace,livingSpace,energySources,energySources,photosCount,photosCount,localAmenitiesScore,localAmenitiesScore,localMobilityScore,localMobilityScore,latitudeDistrict,latitudeDistrict,longitudeDistrict,longitudeDistrict,distanceToCenter,distanceToCenter,district,district,rooms,rooms,energyClass,energyClass,elevator,elevator,sauna,sauna,swimmingpool,swimmingpool,kitchenEqipped,kitchenEqipped,cellar,cellar,storageRoom,storageRoom,wheelchairAccessible,wheelchairAccessible,assistedLiving,assistedLiving,parkingSlots,parkingSlots,guestToilet,guestToilet,privateOutdoorSpace,privateOutdoorSpace,chimney,chimney,attics,attics
2,0,1,0,0,1,1,483623.0,483623.0,2023.0,2023.0,82.81,82.81,9.0,9.0,6.0,6.0,8.2,8.2,9.6,9.6,49.46008,49.46008,11.04266,11.04266,2.615535154498642,2.615535154498642,Seeleinsbühl,Seeleinsbühl,3.0,3.0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,0,1,0,0,1,1,433956.0,433956.0,2023.0,2023.0,75.52,75.52,9.0,9.0,6.0,6.0,8.2,8.2,9.6,9.6,49.46008,49.46008,11.04266,11.04266,2.615535154498642,2.615535154498642,Seeleinsbühl,Seeleinsbühl,3.0,3.0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,0,1,0,0,1,1,251000.0,251000.0,2023.0,2023.0,46.77,46.77,9.0,9.0,6.0,6.0,8.2,8.2,9.6,9.6,49.46008,49.46008,11.04266,11.04266,2.615535154498642,2.615535154498642,Seeleinsbühl,Seeleinsbühl,2.0,2.0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,0,1,0,0,1,1,255000.0,255000.0,2023.0,2023.0,46.77,46.77,9.0,9.0,6.0,6.0,8.2,8.2,9.6,9.6,49.46008,49.46008,11.04266,11.04266,2.615535154498642,2.615535154498642,Seeleinsbühl,Seeleinsbühl,2.0,2.0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,0,1,0,0,1,1,447710.0,447710.0,2023.0,2023.0,83.76,83.76,9.0,9.0,5.0,5.0,8.2,8.2,9.6,9.6,49.46008,49.46008,11.04266,11.04266,2.615535154498642,2.615535154498642,Seeleinsbühl,Seeleinsbühl,3.0,3.0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,0,1,0,0,1,1,265000.0,265000.0,2023.0,2023.0,46.77,46.77,9.0,9.0,6.0,6.0,8.2,8.2,9.6,9.6,49.46008,49.46008,11.04266,11.04266,2.615535154498642,2.615535154498642,Seeleinsbühl,Seeleinsbühl,2.0,2.0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,0,0,1,0,0,0,225000.0,225000.0,1967.0,1967.0,73.0,73.0,2.0,2.0,10.0,10.0,3.6,3.6,9.0,9.0,49.41476,49.41476,11.11488,11.11488,4.986186977513444,4.986186977513444,Neuselsbrunn,Neuselsbrunn,3.0,3.0,6,6,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,0,1,0,0,1,1,178000.0,178000.0,2019.0,2019.0,28.25,28.25,2.0,2.0,7.0,7.0,8.8,8.8,9.4,9.4,49.46166,49.46166,11.03136,11.03136,3.445230610517414,3.445230610517414,Muggenhof,Muggenhof,1.0,1.0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0,0,1,0,0,149500.0,149500.0,1950.0,1950.0,44.0,44.0,1.0,1.0,7.0,7.0,6.0,6.0,9.4,9.4,49.42039,49.42039,11.05991,11.05991,3.7291591591033293,3.7291591591033293,Werderau,Werderau,2.0,2.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,1,1,643313.0,643313.0,2022.0,2022.0,101.79,101.79,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3,0,0,1,0,0,0,199000.0,199000.0,1993.0,1993.0,49.79,49.79,1.0,1.0,9.0,9.0,6.7,6.7,9.7,9.7,49.44504,49.44504,11.10302,11.10302,2.058294686868276,2.058294686868276,St Peter,St Peter,2.0,2.0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,623186.0,623186.0,2022.0,2022.0,97.13,97.13,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,0,0,0,1,1,1,582912.0,582912.0,2022.0,2022.0,91.08,91.08,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
4,0,0,0,1,1,1,289302.0,289302.0,2022.0,2022.0,42.37,42.37,1.0,1.0,4.0,4.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,1.0,1.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,0,0,295000.0,295000.0,1953.0,1953.0,80.0,80.0,3.0,3.0,8.0,8.0,7.7,7.7,9.7,9.7,49.42749,49.42749,11.07581,11.07581,2.7372674442391345,2.7372674442391345,Gibitzenhof,Gibitzenhof,3.0,3.0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,799000.0,799000.0,1974.0,1974.0,169.0,169.0,3.0,3.0,11.0,11.0,7.5,7.5,9.7,9.7,49.46468,49.46468,11.08784,11.08784,1.614009123287336,1.614009123287336,Maxfeld,Maxfeld,4.0,4.0,5,5,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
4,0,0,0,1,0,0,185000.0,185000.0,1955.0,1955.0,43.0,43.0,2.0,2.0,6.0,6.0,7.0,7.0,9.6,9.6,49.42828,49.42828,11.04444,11.04444,3.5293151524875523,3.5293151524875523,Schweinau,Schweinau,2.0,2.0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,0,0,1,0,0,0,209000.0,209000.0,1967.0,1967.0,65.0,65.0,2.0,2.0,9.0,9.0,4.6,4.6,8.7,8.7,49.41476,49.41476,11.11488,11.11488,4.986186977513444,4.986186977513444,Neuselsbrunn,Neuselsbrunn,3.0,3.0,6,6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,582100.0,582100.0,2022.0,2022.0,92.4,92.4,5.0,5.0,44.0,44.0,5.9,5.9,9.4,9.4,49.42828,49.42828,11.04444,11.04444,3.5293151524875523,3.5293151524875523,Schweinau,Schweinau,4.0,4.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
4,0,0,0,1,1,1,529600.0,529600.0,2022.0,2022.0,85.09,85.09,1.0,1.0,4.0,4.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,0,0,0,1,1,1,619537.0,619537.0,2022.0,2022.0,99.54,99.54,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,0,0,0,1,0,0,550000.0,550000.0,1960.0,1960.0,118.0,118.0,2.0,2.0,47.0,47.0,8.6,8.6,9.7,9.7,49.45136,49.45136,11.06303,11.06303,0.9915783203453478,0.9915783203453478,Rosenau,Rosenau,4.0,4.0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
4,0,0,0,1,1,1,427350.0,427350.0,2023.0,2023.0,64.75,64.75,2.0,2.0,22.0,22.0,7.6,7.6,9.6,9.6,49.43896,49.43896,11.04878,11.04878,2.491818130940929,2.491818130940929,St Leonhard,St Leonhard,2.0,2.0,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,598700.0,598700.0,2022.0,2022.0,96.56,96.56,5.0,5.0,47.0,47.0,5.9,5.9,9.4,9.4,49.42828,49.42828,11.04444,11.04444,3.5293151524875523,3.5293151524875523,Schweinau,Schweinau,3.0,3.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
1,1,0,0,0,0,0,229000.0,229000.0,1961.0,1961.0,63.0,63.0,1.0,1.0,40.0,40.0,5.4,5.4,7.1,7.1,49.46879,49.46879,11.16706,11.16706,6.789231555040641,6.789231555040641,Laufamholz,Laufamholz,2.0,2.0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
4,0,0,0,1,1,1,577235.0,577235.0,2022.0,2022.0,88.86,88.86,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
4,0,0,0,1,1,1,250000.0,250000.0,2018.0,2018.0,58.0,58.0,1.0,1.0,9.0,9.0,7.6,7.6,9.7,9.7,49.43188,49.43188,11.07654,11.07654,2.248394282048917,2.248394282048917,Rabus,Rabus,2.0,2.0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,0,0,1,0,0,0,169000.0,169000.0,1950.0,1950.0,51.0,51.0,1.0,1.0,13.0,13.0,8.7,8.7,9.7,9.7,49.44398,49.44398,11.09165,11.09165,1.408294025223907,1.408294025223907,Glockenhof,Glockenhof,2.0,2.0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,343154.0,343154.0,2022.0,2022.0,50.68,50.68,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,1.0,1.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,401251.0,401251.0,2022.0,2022.0,58.65,58.65,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,2.0,2.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
3,0,0,1,0,0,0,249000.0,249000.0,1971.0,1971.0,66.0,66.0,3.0,3.0,9.0,9.0,6.8,6.8,9.6,9.6,49.44267,49.44267,11.12304,11.12304,3.510327221993633,3.510327221993633,Zerzabelshof,Zerzabelshof,2.0,2.0,5,5,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
